mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
semantic,354,2,5,0.2,0.0024449877750611247,0.004830917874396135,0.16958010263680806
semantic,354,2,10,0.3,0.007334963325183374,0.014319809069212411,0.25469837558210445
semantic,354,2,20,0.5,0.02444987775061125,0.046620046620046623,0.40625078892646793
semantic,659,2,5,1.0,0.006459948320413436,0.012836970474967905,1.0
semantic,659,2,10,1.0,0.012919896640826873,0.025510204081632654,1.0
semantic,659,2,20,0.95,0.02454780361757106,0.04785894206549119,0.9626932496335553
semantic,206,2,5,1.0,0.014245014245014245,0.028089887640449437,1.0
semantic,206,2,10,1.0,0.02849002849002849,0.0554016620498615,1.0
semantic,206,2,20,0.9,0.05128205128205128,0.09703504043126684,0.9248689230357701
semantic,238,2,5,1.0,0.01529051987767584,0.030120481927710843,1.0
semantic,238,2,10,1.0,0.03058103975535168,0.05934718100890208,1.0
semantic,238,2,20,1.0,0.06116207951070336,0.11527377521613834,1.0
semantic,854,2,5,1.0,0.007363770250368188,0.014619883040935673,1.0
semantic,854,2,10,1.0,0.014727540500736377,0.02902757619738752,1.0
semantic,854,2,20,1.0,0.029455081001472753,0.057224606580829764,1.0
semantic,824,2,5,1.0,0.01059322033898305,0.020964360587002094,1.0
semantic,824,2,10,1.0,0.0211864406779661,0.04149377593360996,1.0
semantic,824,2,20,1.0,0.0423728813559322,0.0813008130081301,1.0
semantic,236,2,5,1.0,0.00646830530401035,0.012853470437017995,1.0
semantic,236,2,10,1.0,0.0129366106080207,0.02554278416347382,1.0
semantic,236,2,20,1.0,0.0258732212160414,0.05044136191677176,1.0
semantic,186,2,5,0.0,0.0,0.0,0.0
semantic,186,2,10,0.0,0.0,0.0,0.0
semantic,186,2,20,0.0,0.0,0.0,0.0
semantic,681,2,5,1.0,0.015197568389057751,0.029940119760479042,1.0
semantic,681,2,10,1.0,0.030395136778115502,0.05899705014749263,1.0
semantic,681,2,20,1.0,0.060790273556231005,0.11461318051575933,1.0
semantic,228,2,5,1.0,0.010245901639344262,0.020283975659229205,1.0
semantic,228,2,10,1.0,0.020491803278688523,0.040160642570281124,1.0
semantic,228,2,20,0.95,0.0389344262295082,0.07480314960629922,0.9665625086152866
semantic,795,2,5,1.0,0.011574074074074073,0.022883295194508005,1.0
semantic,795,2,10,1.0,0.023148148148148147,0.04524886877828054,1.0
semantic,795,2,20,0.8,0.037037037037037035,0.07079646017699115,0.860034499692726
semantic,265,2,5,1.0,0.021367521367521368,0.041841004184100423,1.0
semantic,265,2,10,0.8,0.03418803418803419,0.06557377049180328,0.857980942822373
semantic,265,2,20,0.75,0.0641025641025641,0.11811023622047243,0.8050613068263957
semantic,233,2,5,1.0,0.006756756756756757,0.013422818791946308,1.0
semantic,233,2,10,1.0,0.013513513513513514,0.026666666666666665,1.0
semantic,233,2,20,1.0,0.02702702702702703,0.052631578947368425,1.0
semantic,528,2,5,0.4,0.0034602076124567475,0.0068610634648370505,0.5531464700081437
semantic,528,2,10,0.7,0.012110726643598616,0.02380952380952381,0.7100226348397882
semantic,528,2,20,0.85,0.029411764705882353,0.056856187290969896,0.8128580767331536
semantic,178,2,5,1.0,0.008347245409015025,0.016556291390728478,1.0
semantic,178,2,10,0.9,0.015025041736227046,0.029556650246305417,0.933745776545611
semantic,178,2,20,0.9,0.03005008347245409,0.05815831987075929,0.9208853994964297
